
--- Training started at 2026-01-06 18:18:06.234498 ---
Ep  230/800 | Tr: 0.0186 | Va: 0.0284 | PCC: 0.9294 | R2: 0.8582 | Best: 0.9560
Ep  210/800 | Tr: 0.0225 | Va: 0.0260 | PCC: 0.9352 | R2: 0.8732 | Best: 0.9547
Ep  240/800 | Tr: 0.0222 | Va: 0.0249 | PCC: 0.9389 | R2: 0.8788 | Best: 0.9560
Ep  220/800 | Tr: 0.0172 | Va: 0.0221 | PCC: 0.9460 | R2: 0.8946 | Best: 0.9560
Ep  250/800 | Tr: 0.0188 | Va: 0.0237 | PCC: 0.9433 | R2: 0.8888 | Best: 0.9560
Ep  230/800 | Tr: 0.0186 | Va: 0.0365 | PCC: 0.9088 | R2: 0.8126 | Best: 0.9560
Ep  260/800 | Tr: 0.0212 | Va: 0.0233 | PCC: 0.9420 | R2: 0.8870 | Best: 0.9596
Ep  240/800 | Tr: 0.0206 | Va: 0.0313 | PCC: 0.9246 | R2: 0.8508 | Best: 0.9560
Ep  270/800 | Tr: 0.0198 | Va: 0.0214 | PCC: 0.9480 | R2: 0.8984 | Best: 0.9596
Ep  250/800 | Tr: 0.0176 | Va: 0.0219 | PCC: 0.9460 | R2: 0.8945 | Best: 0.9560
Ep  280/800 | Tr: 0.0193 | Va: 0.0471 | PCC: 0.8810 | R2: 0.7526 | Best: 0.9596
Ep  260/800 | Tr: 0.0225 | Va: 0.0273 | PCC: 0.9323 | R2: 0.8670 | Best: 0.9560
Ep  290/800 | Tr: 0.0200 | Va: 0.0314 | PCC: 0.9202 | R2: 0.8434 | Best: 0.9596
Ep  270/800 | Tr: 0.0177 | Va: 0.0191 | PCC: 0.9549 | R2: 0.9117 | Best: 0.9560
Ep  300/800 | Tr: 0.0178 | Va: 0.0280 | PCC: 0.9335 | R2: 0.8704 | Best: 0.9596
Ep  280/800 | Tr: 0.0160 | Va: 0.0187 | PCC: 0.9567 | R2: 0.9150 | Best: 0.9579
Ep  310/800 | Tr: 0.0166 | Va: 0.0180 | PCC: 0.9568 | R2: 0.9152 | Best: 0.9596
Ep  290/800 | Tr: 0.0185 | Va: 0.0265 | PCC: 0.9352 | R2: 0.8741 | Best: 0.9579
Ep  320/800 | Tr: 0.0199 | Va: 0.0260 | PCC: 0.9335 | R2: 0.8707 | Best: 0.9596
Ep  300/800 | Tr: 0.0176 | Va: 0.0248 | PCC: 0.9400 | R2: 0.8834 | Best: 0.9579
Ep  330/800 | Tr: 0.0203 | Va: 0.0207 | PCC: 0.9502 | R2: 0.9028 | Best: 0.9596
Ep  310/800 | Tr: 0.0184 | Va: 0.0214 | PCC: 0.9469 | R2: 0.8956 | Best: 0.9612
Ep  340/800 | Tr: 0.0159 | Va: 0.0278 | PCC: 0.9310 | R2: 0.8646 | Best: 0.9596
Ep  320/800 | Tr: 0.0169 | Va: 0.0300 | PCC: 0.9226 | R2: 0.8479 | Best: 0.9612
Ep  350/800 | Tr: 0.0190 | Va: 0.0206 | PCC: 0.9498 | R2: 0.9014 | Best: 0.9596

Test: PCC=0.9603, R2=0.9219, BestEp=307
Ep  330/800 | Tr: 0.0167 | Va: 0.0233 | PCC: 0.9439 | R2: 0.8898 | Best: 0.9612
Ep  340/800 | Tr: 0.0165 | Va: 0.0263 | PCC: 0.9346 | R2: 0.8716 | Best: 0.9612
Ep  350/800 | Tr: 0.0172 | Va: 0.0226 | PCC: 0.9452 | R2: 0.8927 | Best: 0.9612
Ep  360/800 | Tr: 0.0179 | Va: 0.0214 | PCC: 0.9467 | R2: 0.8959 | Best: 0.9612
Ep  370/800 | Tr: 0.0148 | Va: 0.0253 | PCC: 0.9397 | R2: 0.8829 | Best: 0.9612
Ep  380/800 | Tr: 0.0145 | Va: 0.0203 | PCC: 0.9506 | R2: 0.9033 | Best: 0.9613
Ep  390/800 | Tr: 0.0160 | Va: 0.0234 | PCC: 0.9441 | R2: 0.8910 | Best: 0.9613
Ep  400/800 | Tr: 0.0156 | Va: 0.0273 | PCC: 0.9316 | R2: 0.8647 | Best: 0.9613
Ep  410/800 | Tr: 0.0145 | Va: 0.0208 | PCC: 0.9503 | R2: 0.9029 | Best: 0.9613
Ep  420/800 | Tr: 0.0121 | Va: 0.0264 | PCC: 0.9359 | R2: 0.8744 | Best: 0.9613
Ep  430/800 | Tr: 0.0125 | Va: 0.0192 | PCC: 0.9531 | R2: 0.9083 | Best: 0.9613
Ep  440/800 | Tr: 0.0154 | Va: 0.0194 | PCC: 0.9521 | R2: 0.9061 | Best: 0.9613
Ep  450/800 | Tr: 0.0142 | Va: 0.0180 | PCC: 0.9555 | R2: 0.9125 | Best: 0.9613
Ep  460/800 | Tr: 0.0127 | Va: 0.0191 | PCC: 0.9524 | R2: 0.9068 | Best: 0.9613
Ep  470/800 | Tr: 0.0127 | Va: 0.0165 | PCC: 0.9596 | R2: 0.9208 | Best: 0.9613

Test: PCC=0.9627, R2=0.9264, BestEp=375
