epoch,train_sup,train_phys,train_freq,train_cons,train_total,val_MSE,val_PCC,val_R2,lr
1,0.8645133301615715,0.0,0.0,0.0,0.8645133301615715,1.052783782222007,0.05518970644159247,-0.03394590056058022,0.0009990133642141358
2,0.7847490534186363,0.0,0.0,0.0,0.7847490534186363,1.054964767526564,0.09897174407141819,-0.036087860621999646,0.000996057350657239
3,0.732910618185997,0.0,0.0,0.0,0.732910618185997,1.0669394766789855,0.0845007700278437,-0.047848301509889835,0.0009911436253643444
4,0.6539959609508514,0.0,0.0,0.0,0.6539959609508514,1.0310753990254689,-0.03932089721747247,-0.01262595415478951,0.0009842915805643156
5,0.6162945926189423,0.0,0.0,0.0,0.6162945926189423,1.3371361390163308,0.23589840492370925,-0.31321022680400246,0.0009755282581475769
6,0.6143953017890453,0.0,0.0,0.0,0.6143953017890453,3.241423418234244,0.2994884859651866,-2.183423331418319,0.0009648882429441258
7,0.6173616647720337,0.0,0.0,0.0,0.6173616647720337,2.341908852368067,0.22166492299787374,-1.3000041397692037,0.0009524135262330099
8,0.5942869335412979,0.0,0.0,0.0,0.5942869335412979,3.135826619270338,0.23031111191537557,-2.079716018250356,0.0009381533400219318
9,0.5503194481134415,0.0,0.0,0.0,0.5503194481134415,1.6515236748997393,0.28254006321879255,-0.6219723006535074,0.0009221639627510075
10,0.5710533335804939,0.0,0.0,0.0,0.5710533335804939,2.44644533694746,0.3926189026736891,-1.4026701111823967,0.0009045084971874736
11,0.5320161692798138,0.0,0.0,0.0,0.5320161692798138,1.4492984596965082,0.34358858584517354,-0.42336558217988474,0.0008852566213878945
12,0.5782362893223763,0.0,0.0,0.0,0.5782362893223763,1.274457364497109,0.3506163334674256,-0.25165298868856545,0.0008644843137107056
13,0.5156521759927273,0.0,0.0,0.0,0.5156521759927273,1.5567565518973892,0.2841182379254507,-0.5289008837198281,0.0008422735529643443
14,0.5106920190155506,0.0,0.0,0.0,0.5106920190155506,1.006850856379093,0.4254051808290128,0.011165129052544187,0.0008187119948743448
15,0.46240024641156197,0.0,0.0,0.0,0.46240024641156197,1.1390575968298187,0.4192155007233375,-0.11867598326683115,0.0007938926261462366
16,0.4803968146443367,0.0,0.0,0.0,0.4803968146443367,0.8394634295883154,0.4821493934479252,0.17555742560789944,0.0007679133974894982
17,0.5075721219182014,0.0,0.0,0.0,0.5075721219182014,0.8499446055776012,0.43713650498766116,0.16526379349637177,0.0007408768370508576
18,0.529765646904707,0.0,0.0,0.0,0.529765646904707,0.9625761560710661,0.4002376522321022,0.054647604424091334,0.0007128896457825362
19,0.49129028245806694,0.0,0.0,0.0,0.49129028245806694,0.8314519581624702,0.48287816457568405,0.18342554456840232,0.0006840622763423389
20,0.4946419410407543,0.0,0.0,0.0,0.4946419410407543,0.8941709959088137,0.43734455016862395,0.12182876367188467,0.0006545084971874735
21,0.4763015992939472,0.0,0.0,0.0,0.4763015992939472,1.047499151086492,0.3200803062776117,-0.02875582944549504,0.0006243449435824271
22,0.464513435959816,0.0,0.0,0.0,0.464513435959816,1.0554357211884424,0.41841240119382905,-0.03655038732147586,0.0005936906572928622
23,0.4941530339419842,0.0,0.0,0.0,0.4941530339419842,0.9341160873401078,0.43286375673091526,0.08259842575222753,0.000562666616782152
24,0.4487747251987457,0.0,0.0,0.0,0.4487747251987457,0.9209189341960455,0.3975680171512243,0.09555943695205227,0.0005313952597646566
25,0.4417724385857582,0.0,0.0,0.0,0.4417724385857582,0.904974063311573,0.4153739556886238,0.1112189998788029,0.0004999999999999998
26,0.41452907025814056,0.0,0.0,0.0,0.41452907025814056,0.9805584249986049,0.3838172727726758,0.03698709943306189,0.00046860474023534314
27,0.4103117436170578,0.0,0.0,0.0,0.4103117436170578,0.9566293340660903,0.3613691665004932,0.06048801756232447,0.00043733338321784774
28,0.38677307963371277,0.0,0.0,0.0,0.38677307963371277,0.9754502641346194,0.40709627458963615,0.04200385792982975,0.00040630934270713756
29,0.3773309048265219,0.0,0.0,0.0,0.3773309048265219,1.0053225009943938,0.4188018595300033,0.012666136962519947,0.00037565505641757246
30,0.37331492453813553,0.0,0.0,0.0,0.37331492453813553,1.0177066828627248,0.4030762507279987,0.0005035502179443485,0.00034549150281252633
31,0.34146994911134243,0.0,0.0,0.0,0.34146994911134243,0.9492277576270185,0.40885324582708715,0.06775715463120291,0.00031593772365766105
32,0.3264206852763891,0.0,0.0,0.0,0.3264206852763891,0.957921026701631,0.38485607246786446,0.05921943770019655,0.00028711035421746355
33,0.3332340568304062,0.0,0.0,0.0,0.3332340568304062,0.9592926625506534,0.3681741356272682,0.057872345080508536,0.0002591231629491422
34,0.31578266620635986,0.0,0.0,0.0,0.31578266620635986,0.9704943638161424,0.37082470406749296,0.04687108033998244,0.00023208660251050145
35,0.336339108645916,0.0,0.0,0.0,0.336339108645916,0.9470473936698941,0.39018104315120694,0.069898504463208,0.00020610737385376337
36,0.3228429779410362,0.0,0.0,0.0,0.3228429779410362,0.960922588603487,0.3799052874219251,0.056271583947023585,0.00018128800512565502
37,0.3156854510307312,0.0,0.0,0.0,0.3156854510307312,0.9466578154209966,0.3878695931951297,0.07028111183254371,0.00015772644703565555
38,0.32833174988627434,0.0,0.0,0.0,0.32833174988627434,0.9381126237834445,0.38852251776009944,0.07867340093534858,0.00013551568628929425
39,0.30497183091938496,0.0,0.0,0.0,0.30497183091938496,0.94350639409632,0.38117545276864867,0.07337614351389365,0.00011474337861210535
40,0.32005926966667175,0.0,0.0,0.0,0.32005926966667175,0.9452322272203308,0.3775449684073368,0.07168119141284923,9.549150281252626e-05
41,0.3171299286186695,0.0,0.0,0.0,0.3171299286186695,0.9348820107882645,0.38177953287558053,0.08184620727893999,7.783603724899252e-05
42,0.2965615801513195,0.0,0.0,0.0,0.2965615801513195,0.9411760919544124,0.37924838563096847,0.0756647486267189,6.184665997806817e-05
43,0.31582703813910484,0.0,0.0,0.0,0.31582703813910484,0.942676606278419,0.3794413127634505,0.07419108360619164,4.7586473766990294e-05
44,0.2965424284338951,0.0,0.0,0.0,0.2965424284338951,0.9434928403236933,0.38097040417665273,0.07338945476344094,3.5111757055874305e-05
45,0.3109159842133522,0.0,0.0,0.0,0.3109159842133522,0.9409235965584715,0.38368485238565664,0.07591272602146237,2.4471741852423218e-05
46,0.31426985189318657,0.0,0.0,0.0,0.31426985189318657,0.9438500720067333,0.38617687525611205,0.07303861516991106,1.5708419435684507e-05
47,0.3038103450089693,0.0,0.0,0.0,0.3038103450089693,0.9448177683440893,0.3826002898044764,0.0720882342105037,8.856374635655634e-06
48,0.3292492087930441,0.0,0.0,0.0,0.3292492087930441,0.9431634965987636,0.39025799546965734,0.0737129054092589,3.942649342761115e-06
49,0.3167651779949665,0.0,0.0,0.0,0.3167651779949665,0.9431782119293457,0.3827586972296482,0.07369845338597769,9.866357858642198e-07
50,0.3111238107085228,0.0,0.0,0.0,0.3111238107085228,0.941578308634198,0.38629330071905044,0.07526972897099848,0.0
