epoch,train_sup,train_phys,train_freq,train_cons,train_total,val_MSE,val_PCC,val_R2,lr
1,0.8649915084242821,0.0,0.0,0.0,0.8649915084242821,1.0523827910576138,0.03111952605872766,-0.03355208449161462,0.0009755282581475768
2,0.7835119739174843,0.0,0.0,0.0,0.7835119739174843,1.039660472012017,0.06309390987804438,-0.021057410993647885,0.0009045084971874736
3,0.7240235656499863,0.0,0.0,0.0,0.7240235656499863,0.9832884025545197,0.38241286646954364,0.03430597045840855,0.0007938926261462366
4,0.7042666673660278,0.0,0.0,0.0,0.7042666673660278,0.963676358927679,0.4140526201685736,0.05356708793762055,0.0006545084971874737
5,0.6573141738772392,0.0,0.0,0.0,0.6573141738772392,0.9506774042697472,0.42421355137232414,0.06633344709616917,0.0005
6,0.636335663497448,0.0,0.0,0.0,0.636335663497448,0.9860412617485403,0.31627812475371725,0.03160236927595994,0.00034549150281252633
7,0.583842258900404,0.0,0.0,0.0,0.583842258900404,1.2239327325649172,0.26860422751622853,-0.20203241422135187,0.0002061073738537635
8,0.5685545355081558,0.0,0.0,0.0,0.5685545355081558,1.0134761112310648,0.35004530361960695,0.004658422537833773,9.549150281252634e-05
9,0.5539562292397022,0.0,0.0,0.0,0.5539562292397022,0.9705722716296046,0.3679007615206302,0.04679456656221426,2.4471741852423235e-05
10,0.523407407104969,0.0,0.0,0.0,0.523407407104969,0.9894050715710465,0.3584674449800162,0.028298749449194527,0.0
