epoch,train_sup,train_phys,train_freq,train_cons,train_total,val_MSE,val_PCC,val_R2,lr
1,0.4676206149160862,0.0,0.0,0.0,0.4676206149160862,1.0848054711448956,0.11055915213409867,-0.06539461258477908,0.0009938441702975688
2,0.4262826517224312,0.0,0.0,0.0,0.4262826517224312,1.0928043819384383,0.13122780806932136,-0.07325039566540137,0.0009755282581475768
3,0.38643666356801987,0.0,0.0,0.0,0.38643666356801987,1.0825367125641372,0.25978009083334436,-0.06316644980952635,0.0009455032620941839
4,0.3373508118093014,0.0,0.0,0.0,0.3373508118093014,1.269567743152764,0.4785409794962543,-0.24685085929632833,0.0009045084971874737
5,0.2726896218955517,0.0,0.0,0.0,0.2726896218955517,1.733939177765309,0.43673550278803025,-0.7029131099340642,0.0008535533905932737
6,0.20510159246623516,0.0,0.0,0.0,0.20510159246623516,0.9607222749700303,0.49198935732820664,0.056468313288448146,0.0007938926261462366
7,0.1508579207584262,0.0,0.0,0.0,0.1508579207584262,1.2182187778448876,0.34575120024218026,-0.19642070158051506,0.0007269952498697733
8,0.1164947235956788,0.0,0.0,0.0,0.1164947235956788,1.315348779969847,0.39509177121510936,-0.29181271769476447,0.0006545084971874737
9,0.08568824175745249,0.0,0.0,0.0,0.08568824175745249,1.2245729908165737,0.467053559289733,-0.2026612160758059,0.0005782172325201155
10,0.09826478455215693,0.0,0.0,0.0,0.09826478455215693,1.033129400385789,0.4661667974809827,-0.014643202446519954,0.0005
11,0.07730880752205849,0.0,0.0,0.0,0.07730880752205849,1.0467393548484356,0.4261467818886855,-0.028009628545684784,0.0004217827674798847
12,0.05044830683618784,0.0,0.0,0.0,0.05044830683618784,0.9179231177253878,0.4584697148541455,0.09850164807932738,0.00034549150281252633
13,0.04442314337939024,0.0,0.0,0.0,0.04442314337939024,0.9034380226380954,0.44068966822798783,0.11272755556160852,0.00027300475013022663
14,0.0539612245047465,0.0,0.0,0.0,0.0539612245047465,0.8830835408410836,0.4291071963221005,0.13271782646760277,0.00020610737385376348
15,0.05058253603056073,0.0,0.0,0.0,0.05058253603056073,0.8715870822826244,0.4172748466308784,0.1440085742908599,0.00014644660940672625
16,0.038023440167307854,0.0,0.0,0.0,0.038023440167307854,0.8548335445966577,0.42928239487016767,0.16046233422030343,9.549150281252631e-05
17,0.04420914128422737,0.0,0.0,0.0,0.04420914128422737,0.8554034508456243,0.4303855194168526,0.1599026255319922,5.4496737905816096e-05
18,0.05298321391455829,0.0,0.0,0.0,0.05298321391455829,0.8463077704209067,0.4385409964207913,0.16883555330572453,2.447174185242323e-05
19,0.04431500274222344,0.0,0.0,0.0,0.04431500274222344,0.8511262305651067,0.43372218345704067,0.16410331179779103,6.15582970243117e-06
20,0.04036760260351002,0.0,0.0,0.0,0.04036760260351002,0.8524128251244141,0.43362301308595697,0.1628397387899776,0.0
