epoch,train_sup,train_phys,train_freq,train_cons,train_total,val_MSE,val_PCC,val_R2,lr
1,0.23743013044198355,0.0,0.0,0.0,0.23743013044198355,0.9321952647784886,0.05939978932551872,0.00041954254521092693,0.0009998903417374227
2,0.20482324063777924,0.0,0.0,0.0,0.20482324063777924,0.9317137089804086,0.06049184243621722,0.0009359083573128313,0.0009995614150494292
3,0.18930736680825552,0.0,0.0,0.0,0.18930736680825552,0.9328899343848055,0.0659517046901213,-0.00032534234006820206,0.0009990133642141358
4,0.17049794644117355,0.0,0.0,0.0,0.17049794644117355,0.9347024531306801,0.07110984046331176,-0.002268881838283887,0.0009982464296247522
5,0.19297412037849426,0.0,0.0,0.0,0.19297412037849426,0.9377648921858522,0.08099364435841297,-0.005552694090241284,0.0009972609476841367
6,0.1931518167257309,0.0,0.0,0.0,0.1931518167257309,0.9396440796407631,0.085570439251482,-0.0075677215493965555,0.000996057350657239
7,0.17975289126237234,0.0,0.0,0.0,0.17975289126237234,0.9406971632826712,0.09441424491722307,-0.008696928989392338,0.000994636166481494
8,0.18880407015482584,0.0,0.0,0.0,0.18880407015482584,0.9411032636784824,0.08477425842439726,-0.009132384987459385,0.0009929980185352525
9,0.215137446920077,0.0,0.0,0.0,0.215137446920077,0.9421090965630399,0.10367253008087653,-0.010210926075208793,0.0009911436253643444
10,0.1790610005458196,0.0,0.0,0.0,0.1790610005458196,0.941246055993064,0.1098649351391756,-0.009285499267829067,0.0009890738003669028
11,0.19166534145673117,0.0,0.0,0.0,0.19166534145673117,0.939518268071285,0.12470995514454432,-0.007432815493848333,0.00098678945143658
12,0.18439735968907675,0.0,0.0,0.0,0.18439735968907675,0.9418375198046803,0.1156484521097294,-0.009919717966122787,0.0009842915805643154
13,0.18450628717740378,0.0,0.0,0.0,0.18450628717740378,0.9333472223272449,0.13114821972953902,-0.0008156860566292945,0.000981581283398829
14,0.17756840089956918,0.0,0.0,0.0,0.17756840089956918,0.9326243485472266,0.13604058036859215,-4.055821484127975e-05,0.0009786597487660333
15,0.19369855523109436,0.0,0.0,0.0,0.19369855523109436,0.9377155705775999,0.10091505313981697,-0.005499807192397066,0.0009755282581475766
16,0.1755000501871109,0.0,0.0,0.0,0.1755000501871109,0.9375381142306314,0.089812179612806,-0.0053095231358446515,0.0009721881851187403
17,0.1725622167189916,0.0,0.0,0.0,0.1725622167189916,0.9371286732458359,0.08622785978752541,-0.004870485069093711,0.0009686409947459456
18,0.1806420087814331,0.0,0.0,0.0,0.1806420087814331,0.943981679260969,0.07501748199637265,-0.012218871342194015,0.0009648882429441254
19,0.1916885276635488,0.0,0.0,0.0,0.1916885276635488,1.0104454392862,0.08833286987655263,-0.08348706821076757,0.00096093157579425
20,0.1696710710724195,0.0,0.0,0.0,0.1696710710724195,0.9180786996053607,0.1360412686601662,0.015556545710313396,0.0009567727288213001
21,0.17693766703208288,0.0,0.0,0.0,0.17693766703208288,0.9200931430438133,0.14013220583122624,0.01339648507730462,0.0009524135262330095
22,0.16158989071846008,0.0,0.0,0.0,0.16158989071846008,0.9028459488949536,0.17945262664317402,0.031890419629981515,0.0009478558801197061
23,0.1528391788403193,0.0,0.0,0.0,0.1528391788403193,0.9008305336040863,0.19508826240611601,0.03405152236727693,0.000943101789615607
24,0.13595843315124512,0.0,0.0,0.0,0.13595843315124512,0.8680891425372774,0.26831489354737104,0.06915967609518048,0.0009381533400219313
25,0.1514811764160792,0.0,0.0,0.0,0.1514811764160792,0.8937462971451459,0.24909710616453432,0.04164785393846138,0.0009330127018922189
26,0.1566521873076757,0.0,0.0,0.0,0.1566521873076757,3.2754236802372287,0.10281984765545515,-2.512192803755304,0.000927682130080253
27,0.1252437631289164,0.0,0.0,0.0,0.1252437631289164,0.828524237467889,0.34933858512713806,0.11158459220737749,0.0009221639627510072
